date,close,volume,open,high,low
22/11/2017,76.47,11820,76.64,76.64,75.94
21/11/2017,76.3,13720,75.42,76.34,75.42
20/11/2017,75.78,21023,75.85,75.99,75.4
17/11/2017,76.26,95362,76.66,76.88,76.06
16/11/2017,76.63,15470,75.27,76.69,75.27
15/11/2017,75.63,79755,75.06,75.69,74.846
14/11/2017,76.585,72838,77,77,76.48
13/11/2017,77.11,13611,76.6,77.11,76.6
10/11/2017,77.2,9278,77.605,77.605,77.09
09/11/2017,77.87,21060,78.05,78.05,76.676
08/11/2017,79.33,14601,79.342,79.55,79.078
07/11/2017,78.72,16883,78.538,78.78,78.48
06/11/2017,78.05,8790,77.878,78.05,77.76
03/11/2017,78.87,8077,78.67,78.88,78.67
02/11/2017,78.76,33316,78.31,78.99,78.02
01/11/2017,80,12883,80,80.35,79.83
31/10/2017,79.55,67772,79.17,79.685,79.17
30/10/2017,79.11,55883,78.11,79.22,78.11
27/10/2017,77.53,30281,76.78,77.55,76.78
26/10/2017,77.2,83509,77.4,77.6,77.05
25/10/2017,75.68,17975,75.655,75.8,75.52
24/10/2017,76.23,35960,75.08,77.1,75.08
23/10/2017,76.45,18999,76.35,76.81,76.35
20/10/2017,76.14,24390,76.118,76.59,76
19/10/2017,75.97,17585,75.39,76.23,75.19
18/10/2017,76.27,24318,75.98,76.36,75.714
17/10/2017,75.555,22445,75.57,75.72,75.12
16/10/2017,76.045,11791,76.09,76.11,75.81
13/10/2017,74.99,34492,74,74.99,74
12/10/2017,73.06,45245,73.18,73.18,72.79
11/10/2017,72.9,23940,73.08,73.08,72.81
10/10/2017,72.61,50818,72.154,72.85,72.154
09/10/2017,71.99,6529,71.95,72,71.95
06/10/2017,71.85,28364,71.76,72,71.66
05/10/2017,71.84,7057,71.3,71.97,71.3
04/10/2017,72.34,9652,72.1,72.35,72.02
03/10/2017,71.915,6452,71.328,72.1,71.328
02/10/2017,71.52,13660,70.6,71.52,70.6
29/09/2017,70.58,9341,70.53,71.09,70.46
28/09/2017,70.53,8556,70.02,70.8,70.02
27/09/2017,70,19110,70.29,70.29,69
