,Date,Ticker,Open,High,Low,Close,Adj Close,Volume,Prev Close,TR,ATR,RSI,Prediction_ATR,Prediction_RSI
108,2014-11-19,GS,189.71000700000002,189.990005,188.190002,189.190002,177.027603,2260100,189.639999,1.8000030000000038,2.0019475790006047,60.79763977319513,183.67078062190967,205.0589470073762
109,2014-11-20,GS,187.820007,189.860001,187.550003,189.75,177.55159,2850000,189.190002,2.3099980000000073,2.0430209744553167,48.465445689865646,184.0726446390301,202.67415397358212
110,2014-11-21,GS,191.520004,191.66000400000001,189.369995,189.58999599999999,177.401871,2367900,189.75,2.290009000000026,2.075952715355605,41.31652107904299,184.39485032819823,201.29169879198108
111,2014-11-24,GS,190.139999,190.889999,189.669998,190.070007,177.851028,2028800,189.58999599999999,1.3000030000000038,1.9724927419787943,48.583599278361376,183.38259312247916,202.69700245073537
112,2014-11-25,GS,190.5,190.5,188.199997,188.860001,176.718796,3677900,190.070007,2.300003000000004,2.016160780525913,43.75006457236659,183.80984324865062,201.76229611887183
113,2014-11-26,GS,189.919998,189.919998,187.729996,188.520004,176.400681,2024000,188.860001,2.1900019999999927,2.039339611695594,32.33629637691223,184.0366260140608,199.55510778742524
114,2014-11-28,GS,188.399994,189.490005,188.119995,188.41000400000001,176.860641,1195200,188.520004,1.3700100000000077,1.9500956571078696,33.187213351499,183.16345899932293,199.71965765256843
115,2014-12-01,GS,188.0,188.619995,185.58999599999999,188.199997,176.663483,2469000,188.41000400000001,3.0299990000000037,2.0940827783889078,19.79887088233491,184.57223571064716,197.13062721412666
116,2014-12-02,GS,189.309998,190.940002,188.809998,190.190002,178.53149399999998,3116100,188.199997,2.7400049999999965,2.1802057458815853,39.263080118245654,185.4148668420593,200.8946054876163
117,2014-12-03,GS,189.75,191.820007,189.330002,190.949997,179.24491899999998,3049600,190.190002,2.4900049999999965,2.2215123150141265,55.55555395222937,185.8190122413207,204.0452352814726
118,2014-12-04,GS,190.779999,192.33999599999999,189.96000700000002,191.949997,180.18364,3123400,190.949997,2.3799889999999664,2.2426425405286787,60.86395394373531,186.02575135343776,205.07177080587283
119,2014-12-05,GS,192.720001,196.929993,192.53999299999998,195.449997,183.469086,3625500,191.949997,4.979996,2.6076230145125088,74.61742857819195,189.59673733650297,207.73141030530732
120,2014-12-08,GS,195.449997,198.059998,194.509995,196.619995,184.567368,2715000,195.449997,3.550003000000004,2.733273683039667,77.35075811863459,190.82610933872445,208.25998009613818
121,2014-12-09,GS,193.690002,197.220001,192.899994,196.889999,184.82081599999998,4568400,196.619995,4.320007000000004,2.9448381308396208,79.68872619557925,192.89606576505656,208.71209510060987
122,2014-12-10,GS,195.479996,195.990005,191.600006,192.0,180.230545,6506700,196.889999,5.289992999999981,3.2575254538221023,58.43842026894376,195.95541311935392,204.60272241336534
123,2014-12-11,GS,193.0,194.940002,192.5,193.53999299999998,181.676178,3179500,192.0,2.9400019999999927,3.2151889924800074,60.7486923298267,195.5411912066718,205.04948157720386
124,2014-12-12,GS,191.71000700000002,192.639999,188.070007,188.820007,177.245514,3838900,193.53999299999998,5.469985999999977,3.515828598606065,48.26500909125696,198.4826631372441,202.6353936523571
125,2014-12-15,GS,190.240005,190.809998,185.41000400000001,185.53999299999998,174.166534,4729100,188.820007,5.399993999999992,3.767050655835662,40.93634798938002,200.94063146418378,201.21818112515408
126,2014-12-16,GS,183.96000700000002,186.929993,182.399994,183.309998,172.073257,4181900,185.53999299999998,4.529999000000004,3.868777103026357,39.33101788993174,201.93592776883236,200.90774325722597
127,2014-12-17,GS,184.110001,186.5,183.630005,185.029999,173.68782,5074800,183.309998,3.1900019999999927,3.7782737549521777,43.629051876128344,201.05043878947487,201.73889474900696
128,2014-12-18,GS,188.0,191.66000400000001,187.809998,191.610001,179.86445600000002,4209600,185.029999,6.630005000000011,4.158504591280895,54.72533534333536,204.77063502912125,203.8846880551122
129,2014-12-19,GS,192.259995,195.0,192.029999,193.279999,181.43211399999998,4798200,191.610001,3.389998999999989,4.056037178256304,57.191397845809156,203.76808908018927,204.36157389043572
130,2014-12-22,GS,193.919998,194.5,192.759995,194.440002,182.52101100000002,3056400,193.279999,1.7400049999999965,3.7472328855921155,56.16120829035952,200.74673347566167,204.16235639039292
